"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Americas","Americas",2022-04-01,1920176.13018586,1827768.38244295,2026445.22311442,1442628.44778778,1359126.21203412,1545130.00534236,1329230.99886493,1250687.33965385,1426510.13531571
"Eastern Mediterranean","Eastern Mediterranean",2022-04-01,3413506.80985639,2992576.46175209,3826920.37317929,3079274.03684998,2686897.95872822,3458831.83478731,2920354.48348547,2545411.77793406,3282591.31621149
"European","European",2022-04-01,543946.697983529,518989.842917402,585789.276970748,357419.33644606,336354.394548874,395561.481180651,312705.811741756,292979.220007856,348718.956065356
"South-East Asia","South-East Asia",2022-04-01,3717909.07455099,3396509.46464135,4081073.30482391,2408297.53523727,2175973.81774083,2708630.00865825,2318059.06788306,2097750.08359157,2603361.62214438
"Western Pacific","Western Pacific",2022-04-01,285918.259360527,253741.541318525,328119.631448542,200342.498944738,176950.228956366,233205.757762996,182780.347884568,161214.54438004,213095.197575086
"Afghanistan","Eastern Mediterranean",2022-04-01,405705.589537383,298741.385782445,514073.706499728,369484.552585624,272366.27289148,467752.636210344,351552.718648191,259104.414332769,445064.658315533
"Albania","European",2022-04-01,753.799511082022,434.525060863512,1286.95391749579,502.524354416775,255.45349217992,973.243208435008,464.672068368529,234.124231875784,907.484726710164
"Algeria","African ",2022-04-01,73286.6316434342,50706.0044064578,97377.3228187249,65480.2090593028,42775.7831549619,89279.4017261796,61507.868124778,39921.9583912577,84351.0994092445
"Andorra","European",2022-04-01,5.81786940600552,4.17582848759188,8.04565425497763,3.1382749706678,2.11444388092868,4.63150679448041,2.86164300283122,1.92300731158425,4.24127650550148
"Angola","African ",2022-04-01,148698.297206845,97080.3818089982,199183.125322827,131763.323304918,85985.8309255551,176508.722901596,125344.949629405,81796.5845977468,167908.937209324
"Antigua and Barbuda","Americas",2022-04-01,50.3602814379518,30.7767402473333,78.2104024771018,31.641803648961,16.7341410869495,56.2839290314043,28.6238823667733,14.9692060226521,51.5284725502552
"Argentina","Americas",2022-04-01,55460.7277437196,47203.1165568969,63479.0631215544,43230.6986769674,36794.0305059567,49480.8554042977,40699.976884375,34640.1107755698,46584.2499151413
"Armenia","European",2022-04-01,1415.55731256966,820.693447470839,2407.60941895518,1051.69745822983,537.096587546191,2024.74375917078,979.523573892396,496.074934578724,1901.10037379429
"Australia","Western Pacific",2022-04-01,1962.32640721543,1198.61248358892,3097.51101410959,1123.65564851481,597.20098652845,2033.44874496346,1009.05609722297,530.855881114458,1846.27690957886
"Austria","European",2022-04-01,1027.09204416873,581.570191315328,1753.16560659163,693.935637107519,345.717389910792,1348.61574767135,642.23500198406,317.1497955709,1259.18107786055
"Azerbaijan","European",2022-04-01,6487.97103464937,3757.11928414214,10829.054521421,5415.6493589726,2767.23908818731,10170.1812186132,5083.78306799595,2576.01097200833,9621.60125265737
"Bahamas","Americas",2022-04-01,276.301801488807,129.379443348542,495.72374057848,151.710601306713,64.4680686793874,304.587269296427,135.808244694455,57.3214803752717,275.126609331951
