age,gender,COVID19_deaths,child_age,nb_c,orphans
70-74,Male,1451,10,0.00224611398963731,3
70-74,Male,1451,11,4.76190476190476e-6,0
70-74,Male,1451,12,9.52380952380952e-6,0
70-74,Male,1451,13,0.003736895927891948,5
70-74,Male,1451,14,0.004179515157621864,6
70-74,Male,1451,15,0.00519559228650138,8
70-74,Male,1451,16,0.006121643059970334,9
70-74,Male,1451,17,0.007047693833439288,10
75-79,Female,764,0,0,0
75-79,Female,764,1,0,0
75-79,Female,764,2,0,0
75-79,Female,764,3,0,0
75-79,Female,764,4,0,0
75-79,Female,764,5,0,0
75-79,Female,764,6,0,0
75-79,Female,764,7,0,0
75-79,Female,764,8,0,0
75-79,Female,764,9,0,0
75-79,Female,764,10,0,0
75-79,Female,764,11,0,0
75-79,Female,764,12,0,0
75-79,Female,764,13,0,0
75-79,Female,764,14,0,0
75-79,Female,764,15,0,0
75-79,Female,764,16,0,0
75-79,Female,764,17,0,0
75-79,Male,882,0,6.83608058608059e-4,1
75-79,Male,882,1,6.83608058608059e-4,1
75-79,Male,882,2,6.83608058608059e-4,1
75-79,Male,882,3,6.83608058608059e-4,1
75-79,Male,882,4,8.22029822029822e-4,1
75-79,Male,882,5,8.75694795351187e-4,1
75-79,Male,882,6,8.51443569553806e-4,1
75-79,Male,882,7,8.51443569553806e-4,1
75-79,Male,882,8,8.60294117647059e-4,1
75-79,Male,882,9,8.60294117647059e-4,1
75-79,Male,882,10,8.60294117647059e-4,1
75-79,Male,882,11,0,0
75-79,Male,882,12,0,0
75-79,Male,882,13,0.001932231453859616,2
75-79,Male,882,14,0.002170634846280908,2
75-79,Male,882,15,0.00244055068836045,2
75-79,Male,882,16,0.0029915590079886358,3
75-79,Male,882,17,0.0035425673276168216,3
80+,Female,1197,0,0,0
80+,Female,1197,1,0,0
80+,Female,1197,2,0,0
80+,Female,1197,3,0,0
80+,Female,1197,4,0,0
80+,Female,1197,5,0,0
80+,Female,1197,6,0,0
80+,Female,1197,7,0,0
80+,Female,1197,8,0,0
80+,Female,1197,9,0,0
80+,Female,1197,10,0,0
80+,Female,1197,11,0,0
80+,Female,1197,12,0,0
80+,Female,1197,13,0,0
80+,Female,1197,14,0,0
80+,Female,1197,15,0,0
80+,Female,1197,16,0,0
80+,Female,1197,17,0,0
80+,Male,1083,0,6.83608058608059e-4,1
80+,Male,1083,1,6.83608058608059e-4,1
80+,Male,1083,2,6.83608058608059e-4,1
80+,Male,1083,3,6.83608058608059e-4,1
80+,Male,1083,4,8.22029822029822e-4,1
80+,Male,1083,5,8.75694795351187e-4,1
80+,Male,1083,6,8.51443569553806e-4,1
80+,Male,1083,7,8.51443569553806e-4,1
80+,Male,1083,8,8.60294117647059e-4,1
80+,Male,1083,9,8.60294117647059e-4,1
80+,Male,1083,10,8.60294117647059e-4,1
80+,Male,1083,11,0,0
80+,Male,1083,12,0,0
80+,Male,1083,13,0.00121702127659574,1
80+,Male,1083,14,0.00121702127659574,1
80+,Male,1083,15,0.00122283464566929,1
80+,Male,1083,16,0.0012808211238926786,1
80+,Male,1083,17,0.001338807602116067,1
