"age","gender","death.x","death.y","death","child_age","nb_c","orphans"
"90+","Male",2334.82945205479,10817.6,8482.77054794521,1,0.000435055528730082,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,2,0.000435055528730082,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,3,0.000435055528730082,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,4,0.000418367346938776,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,5,0.000403333878084654,3
"90+","Male",2334.82945205479,10817.6,8482.77054794521,6,0.000403333878084654,3
"90+","Male",2334.82945205479,10817.6,8482.77054794521,7,0.000438790931989924,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,8,0.000438790931989924,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,9,0.000455534772997789,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,10,0.000472648835202761,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,11,0.000458333333333333,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,12,0.000458333333333333,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,13,0.000427518880088414,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,14,0.000427518880088414,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,15,0.000427518880088414,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,16,0.000427518880088414,4
"90+","Male",2334.82945205479,10817.6,8482.77054794521,17,0.000427518880088414,4
